Chile,3919667.367,6228172.178,9481379.209,9701005.889,9775987.662,9884086.465,9938478.381,9917282.941,10129421.38,10026244.83,9299456.244,10281791.25
China,5636.079672,13662.4686,41049.50567,43943.79718,46910.3376,49922.32676,53036.58906,56378.8823,59903.52119,63243.33231,64506.06071,69675.15407
Cote d'Ivoire,1129112.69,1070046.35,947659.6889,1028208.896,1098835.139,1147876.734,1198941.695,1254316.522,1306770.483,1353506.185,1346094.165,1405885.72
Cameroon,802662.3268,677028.1027,777034.8919,793217.497,813515.1609,832980.9306,845094.4115,850572.4202,860114.1009,865646.5544,844676.8343,852731.5341
"Congo, Dem. Rep.",232530.4401,96750.81005,119705.5557,125506.4624,132738.3726,137189.2022,135695.2172,135989.1915,139271.753,140819.0152,138717.0247,142646.017
"Congo, Rep.",1045591.52,916805.0358,1099826.503,1066023.96,1110755.262,1046032.745,911206.9503,850687.2357,790650.6622,771575.5642,706758.5862,675382.1152
Colombia,10133092.6,10978053.13,15539044.17,16175875.52,16744288.26,17077602.82,17248766.98,17220831.93,17330776.55,17558668.01,16082924.66,17597659.35
Comoros,468497.0971,458949.8433,499358.0788,510591.8416,510245.1764,505070.9385,510641.5278,519385.5585,528146.1469,527475.8807,516531.4873,517517.7474
Cabo Verde,69156.06713,162063.1196,256535.0331,255684.4999,254356.709,254084.1137,263073.5191,269644.8226,278779.7544,291605.0413,246103.2227,260847.3339
Costa Rica,3345318.354,4286505.317,6073045.151,6153179.758,6301752.222,6463907.563,6667618.475,6877199.458,6991450.944,7098790.031,6759941.337,7228782.841
Caribbean small states,,,,,,,,,,,,
Cuba,3104.802999,2572.918939,4444.310828,4561.466205,4605.001789,4806.041397,4829.830898,4919.637222,5033.878154,5030.708165,4486.271556,4560.421422
Curacao,,36477.27925,34498.71522,33832.95432,32979.0506,32641.4141,32015.18376,31360.24099,30842.2541,30161.02349,24995.74564,26494.4805
Cayman Islands,,,64540.16708,63847.69807,64060.22767,64412.94676,65064.26793,65735.80472,67164.48893,68447.17543,63427.81715,63812.29927
Cyprus,15417.96875,20129.82813,21839.96484,20448.74219,20307.85352,21122.08203,22407.54492,23472.91602,24497.9668,25504.21094,24114.15039,25476.58789
Czechia,286000.4632,302872.0545,408511.2577,408188.3177,416982.737,438588.2916,448853.6798,470801.3771,484339.1225,497052.8127,468559.1265,494036.6115
Germany,26575.36494,31085.78193,36114.36541,36173.54622,36819.00596,37046.21801,37567.86658,38430.87788,38691.52094,39012.25738,37539.37702,38509.2284
Djibouti,,,,373604.7216,392977.1075,415342.0459,437535.9405,453888.7678,467927.9449,486151.5353,484701.1579,500950.1998
Dominica,11063.16835,13750.32921,17115.75311,16961.59491,17626.52982,16989.30107,17441.8837,16211.52508,16687.09318,17456.17965,14442.94743,15319.2841
Denmark,264374.7368,331295.1038,346938.2417,348719.5074,352574.3695,358293.712,367048.149,374985.0334,380553.8805,384856.6415,376081.8513,392637.8438
Dominican Republic,82451.90043,122822.944,173853.1941,180064.0382,190414.806,201184.1767,212099.6284,219502.9177,232249.5615,241374.4882,222742.6498,247418.696
Algeria,340782.4678,339134.9191,435033.6306,438505.0589,446248.8006,453596.9888,458872.9912,455829.8777,452602.8279,448797.0869,418593.3048,426121.3694
East Asia & Pacific (excluding high income),,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,
Ecuador,2954.504649,2987.873843,4156.737234,4296.010638,4393.118709,4332.86624,4216.290496,4249.621428,4223.783639,4144.389676,3768.438923,3881.883185
"Egypt, Arab Rep.",19507.42303,24398.62708,31872.69159,31823.7153,31992.96148,32663.38624,33379.43581,34089.99834,35226.26809,36522.89849,37176.70887,37781.6924
Euro area,,,,,,,,,,,,
Eritrea,,11183.81231,,,,,,,,,,
Spain,17097.42068,21575.20544,22203.40322,21963.66391,22336.90402,23212.31348,23897.26612,24550.73093,25001.8409,25315.52194,22339.03448,23547.15469
Estonia,,8977.037692,14652.80155,14919.50513,15409.14461,15684.39426,16174.61601,17090.75258,17675.87485,18268.89557,18132.37615,19564.65845
Ethiopia,6127.805074,5743.077316,11271.50591,12126.23535,13013.21428,13983.56999,14892.67145,15878.98167,16513.89327,17426.08945,17997.81295,18523.65245
European Union,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,
Finland,28192.50883,34145.0664,39330.09615,38796.30195,38495.2006,38577.2067,39547.95577,40714.83061,41124.28101,41582.10492,40606.79156,41727.53846
Fiji,6922.796759,8185.154154,9097.358129,9503.075692,10012.48683,10444.46015,10686.25204,11250.38786,11679.58444,11618.32864,9622.682139,9089.450618
France,25792.79954,30276.77021,32610.8434,32629.80645,32787.91889,33035.14778,33309.02787,33973.54246,34483.32876,34999.16452,32187.16565,34290.63554
Faroe Islands,,,,,,,,,,,,
"Micronesia, Fed. Sts.",1884.324006,2126.573508,2269.573694,2178.470477,2120.138685,2209.25344,2219.751649,2268.86625,2263.440579,2280.779141,2225.984336,2135.490714
Gabon,3108005.757,2829770.922,2543186.452,2594051.179,2617067.497,2635942.642,2616656.752,2562679.918,2523089.788,2562657.158,2460930.98,2445077.516
United Kingdom,20699.32446,25650.05534,28028.79025,28348.37815,29040.77759,29501.06793,29912.26822,30435.71909,30767.65833,31085.40851,27555.54634,29521.0065
Georgia,8047.296406,3554.995191,8163.134501,8484.243348,8856.099375,9109.392163,9368.545448,9820.912209,10300.55131,10832.32951,10093.08448,11191.78758
Ghana,2255.851236,2699.760642,4318.716816,4522.248102,4540.762229,4528.714092,4573.241839,4835.70376,5027.659312,5244.149204,5163.303483,5331.745004
Gibraltar,,,,,,,,,,,,
Guinea,3102013.179,3468520.778,4068840.275,4127340.24,4174950.74,4225574.238,4563103.128,4905719.421,5087123.434,5238233.937,5359616.443,5434176.294
"Gambia, The",24582.88339,24595.46002,23329.44036,23278.42168,22278.22353,22522.62689,22325.44728,22773.36445,23784.38666,24620.12095,24139.26938,24540.43799
